strategy,rank,total_trades,win_rate,profit_factor,expectancy,max_drawdown,gross_pnl,net_pnl,lookback,rsi_threshold,distance_from_ema20,volume_ratio,bb_std_multiplier,take_profit_pct,stop_loss_pct,max_holding_candles
donchian_breakout,119,3984,0.31099397590361444,0.4582415702361202,-0.07917781880670607,315.45531654834093,3.276880626333568,-315.444430125917,10,,,1.5,,0.004,0.002,30
donchian_breakout,120,4118,0.38003885381253033,0.45820936598508594,-0.08524798045680766,351.12273551434987,-21.619831453715427,-351.05118352113396,20,,,1.0,,0.003,0.0025,45
donchian_breakout,121,3296,0.2766990291262136,0.457964779499695,-0.08237921179208782,271.93670114043675,-7.845020074751344,-271.52188206672145,30,,,1.5,,0.006,0.002,30
donchian_breakout,122,3429,0.3073782443861184,0.4576847576768052,-0.07955534513955954,273.17698632268076,1.5253316491099689,-272.7952784835497,30,,,1.5,,0.004,0.002,30
donchian_breakout,123,3701,0.27803296406376654,0.45756132730622723,-0.08189492465893122,303.22126649456396,-7.0159225317171545,-303.09311616270446,30,,,1.0,,0.006,0.002,30
donchian_breakout,124,3768,0.3333333333333333,0.4571228811215851,-0.08583735141205,323.47906283132886,-22.00394169728328,-323.4351401206044,30,,,1.0,,0.004,0.003,30
donchian_breakout,125,3804,0.32229232386961093,0.45667346027607786,-0.08322006850439716,316.61306330145146,-12.254042207609775,-316.56914059072676,30,,,1.0,,0.004,0.0025,30
donchian_breakout,126,4034,0.35671789786812097,0.4563992437404936,-0.0811303532683097,327.35139707757486,-4.561669752262219,-327.27984508436134,20,,,1.2,,0.003,0.002,45
donchian_breakout,127,3718,0.35502958579881655,0.45634664719487994,-0.08117781540213785,301.89066965836184,-4.380870013153827,-301.81911766514855,30,,,1.2,,0.003,0.002,45
donchian_breakout,128,4773,0.31112507856693905,0.4556674904254431,-0.07930624365999864,378.53206028717403,3.3126240604507067,-378.5287009891735,10,,,1.0,,0.004,0.002,30
donchian_breakout,129,3700,0.3083783783783784,0.45546018034007685,-0.07973385834270258,295.5668816957741,0.9851181792721722,-295.01527586799955,30,,,1.2,,0.004,0.002,30
donchian_breakout,130,4227,0.30778329784717295,0.4549013608252261,-0.0797386234523231,337.0990840436946,1.1052807793419837,-337.05516133296976,20,,,1.0,,0.004,0.002,30
donchian_breakout,131,3988,0.3520561685055166,0.4544975552020127,-0.08166086812560283,325.66354208490753,-6.6261925619288276,-325.66354208490407,10,,,1.5,,0.003,0.002,45
donchian_breakout,132,4751,0.35318880235739847,0.45144891081825234,-0.08217596833979865,390.48957757559873,-10.34216244736234,-390.4180255823834,10,,,1.0,,0.003,0.002,45
donchian_breakout,133,3872,0.3047520661157025,0.44859649000570706,-0.081079287857561,313.98292529520035,-4.180674854417901,-313.93900258447616,30,,,1.0,,0.004,0.002,30
donchian_breakout,134,3877,0.3510446221305133,0.44780732358964015,-0.08304466497107423,322.03571808606813,-11.808889648714265,-321.9641660928548,30,,,1.0,,0.003,0.002,45
donchian_breakout,135,4551,0.36585365853658536,0.4461445225330485,-0.08052360475967943,366.68616455930265,-2.3838788128262376,-366.4629252613011,10,,,1.2,,0.003,0.0025,30
